city,latitude,longitude,host
Kansas City,39.09973,-94.57857,34.98.123.63
São Paulo,-23.5475,-46.63611,199.232.113.112
Kansas City,39.09973,-94.57857,34.110.231.159
Kansas City,39.09973,-94.57857,34.120.154.137
London,51.50853,-0.12574,199.232.57.164
Palo Alto,37.44188,-122.14302,199.232.117.112
Ashburn,39.04372,-77.48749,35.169.16.199
Toronto,43.70011,-79.4163,151.101.125.164
San Francisco,37.7621,-122.3971,151.101.65.112
Dallas,32.78306,-96.80667,146.75.105.164
San Francisco,37.7621,-122.3971,151.101.253.164
Kansas City,39.09973,-94.57857,34.120.166.88
Kansas City,39.09973,-94.57857,35.227.225.187
Los Angeles,34.05223,-118.24368,146.75.93.112
Auckland,-36.84853,174.76349,151.101.165.164
Kansas City,39.09973,-94.57857,34.120.110.201
Seattle,47.60621,-122.33207,151.101.213.164
Mumbai,19.07283,72.88261,elibrary.ashoka.edu.in
Kansas City,39.09973,-94.57857,34.120.251.47
Ashburn,39.04372,-77.48749,18.209.185.212
New York City,40.71427,-74.00597,151.101.209.112
Palermo,38.13205,13.33561,146.75.57.112
Buenos Aires,-34.61315,-58.37723,151.101.217.164
Marseille,43.29695,5.38107,199.232.81.164
San Francisco,37.7621,-122.3971,199.232.85.112
San Francisco,37.7621,-122.3971,151.101.1.112
Kansas City,39.09973,-94.57857,34.95.84.211
Kansas City,39.09973,-94.57857,34.149.150.187
Columbus,39.96118,-82.99879,199.232.101.112
Ashburn,39.04372,-77.48749,54.174.221.35
San Francisco,37.7621,-122.3971,151.101.49.164
Kansas City,39.09973,-94.57857,35.186.225.125
San Francisco,37.7621,-122.3971,146.75.69.112
Johannesburg,-26.20227,28.04363,151.101.173.164
Mumbai,19.07283,72.88261,43.204.232.158
Kansas City,39.09973,-94.57857,34.117.25.155
San Francisco,37.7621,-122.3971,167.82.125.112
Kansas City,39.09973,-94.57857,34.107.248.194
Atlanta,33.749,-84.38798,199.232.33.164
Kansas City,39.09973,-94.57857,35.241.35.241
Kansas City,39.09973,-94.57857,35.186.239.250
Kansas City,39.09973,-94.57857,35.186.206.45
Kansas City,39.09973,-94.57857,34.160.131.130
Mumbai,19.07283,72.88261,elibrary.iimv.ac.in
San Francisco,37.7621,-122.3971,167.82.89.164
Bangkok,13.75398,100.50144,199.232.165.164
San Francisco,37.7621,-122.3971,167.82.121.164
Ashburn,39.04372,-77.48749,3.217.126.135
Kansas City,39.09973,-94.57857,35.244.187.69
Amsterdam,52.37403,4.88969,64.225.70.170
Kansas City,39.09973,-94.57857,34.120.134.212
Santiago,-33.45694,-70.64827,151.101.221.112
Kansas City,39.09973,-94.57857,130.211.4.110
Milan,45.46427,9.18951,146.75.53.112
Columbus,39.96118,-82.99879,199.232.97.112
Kansas City,39.09973,-94.57857,35.244.186.125
Ashburn,39.04372,-77.48749,34.228.204.60
Ashburn,39.04372,-77.48749,54.237.206.87
San Francisco,37.7621,-122.3971,199.232.253.112
Atlanta,33.749,-84.38798,199.232.33.112
San Francisco,37.7621,-122.3971,167.82.125.164
San Francisco,37.7621,-122.3971,167.82.105.164
San Francisco,37.7621,-122.3971,151.101.53.164
London,51.50853,-0.12574,146.75.73.164
Mumbai,19.07283,72.88261,15.206.249.2
Kansas City,39.09973,-94.57857,34.117.13.112
New York City,40.71427,-74.00597,listings.nytimes.com
Kansas City,39.09973,-94.57857,35.244.152.16
Minneapolis,44.97997,-93.26384,151.101.149.164
Ashburn,39.04372,-77.48749,54.204.201.243
Kansas City,39.09973,-94.57857,34.160.118.35
Kansas City,39.09973,-94.57857,34.149.44.156
Sydney,-33.86785,151.20732,151.101.29.164
San Francisco,37.7621,-122.3971,151.101.233.112
Ashburn,39.04372,-77.48749,54.152.73.184
Lisbon,38.71667,-9.13333,146.75.89.164
San Francisco,37.7621,-122.3971,146.75.101.164
Kansas City,39.09973,-94.57857,34.107.176.80
Milan,45.46427,9.18951,146.75.53.164
Seattle,47.60621,-122.33207,146.75.41.112
Kansas City,39.09973,-94.57857,34.111.107.154
Kansas City,39.09973,-94.57857,34.160.77.168
Kansas City,39.09973,-94.57857,35.201.112.223
Cape Town,-33.92584,18.42322,151.101.225.112
Seattle,47.60621,-122.33207,146.75.41.164
San Francisco,37.7621,-122.3971,199.232.141.164
Kansas City,39.09973,-94.57857,130.211.38.84
San Francisco,37.7621,-122.3971,151.101.13.112
San Francisco,37.7621,-122.3971,www.nytcrisis.com
Kansas City,39.09973,-94.57857,34.110.148.221
Kansas City,39.09973,-94.57857,34.149.152.144
San Francisco,37.7621,-122.3971,146.75.21.164
San Francisco,37.7621,-122.3971,151.101.129.112
Kansas City,39.09973,-94.57857,34.120.167.235
Houston,29.76328,-95.36327,151.101.57.164
Singapore,1.28967,103.85007,199.232.13.112
San Francisco,37.7621,-122.3971,167.82.121.112
Kansas City,39.09973,-94.57857,34.160.18.80
St. Louis,38.62727,-90.19789,199.232.73.164
Madrid,40.4165,-3.70256,151.101.133.164
San Francisco,37.7621,-122.3971,151.101.17.164
Chicago,41.85003,-87.65005,146.75.81.164
Ashburn,39.04372,-77.48749,18.205.144.24
San Francisco,37.7621,-122.3971,146.75.125.164
Tokyo,35.6895,139.69171,151.101.229.112
New York City,40.71427,-74.00597,170.149.196.66
San Francisco,37.7621,-122.3971,199.232.101.164
Montréal,45.50884,-73.58781,151.101.137.164
Kansas City,39.09973,-94.57857,34.120.94.239
San Francisco,37.7621,-122.3971,146.75.61.164
Ashburn,39.04372,-77.48749,100.24.246.158
Kansas City,39.09973,-94.57857,35.190.33.147
Kansas City,39.09973,-94.57857,34.98.88.76
Vienna,48.20849,16.37208,199.232.17.164
San Francisco,37.7621,-122.3971,www.nytcrisis.com
Niederwerth,50.4,7.61667,login.bibproxy.whu.edu
San Francisco,37.7621,-122.3971,146.75.101.112
San Francisco,37.7621,-122.3971,www.nytcrisis.com
Ashburn,39.04372,-77.48749,3.208.84.136
St. Louis,38.62727,-90.19789,199.232.73.112
San Jose,37.33939,-121.89496,www.timestalks.com
Montréal,45.50884,-73.58781,books.kpl.org
Delhi,28.65195,77.23149,199.232.21.112
Perth,-31.95224,115.8614,151.101.105.112
Kansas City,39.09973,-94.57857,34.98.97.164
Washington,38.89511,-77.03637,146.75.33.164
San Francisco,37.7621,-122.3971,167.82.85.112
San Francisco,37.7621,-122.3971,199.232.229.112
San Francisco,37.7621,-122.3971,146.75.109.112
Central,22.28299,114.15846,151.101.77.164
San Francisco,37.7621,-122.3971,www.newyorktimesconferences.com
Dublin,53.33306,-6.24889,199.232.25.112
San Francisco,37.7621,-122.3971,146.75.17.164
San Francisco,37.7621,-122.3971,151.101.13.164
Kansas City,39.09973,-94.57857,34.117.144.9
Amsterdam,52.37403,4.88969,199.232.149.112
San Jose,37.33939,-121.89496,151.101.49.112
Frankfurt am Main,50.11552,8.68417,146.75.117.164
Fortaleza,-3.71722,-38.54306,146.75.5.164
Kansas City,39.09973,-94.57857,34.120.214.31
Dubai,25.07725,55.30927,151.101.141.164
London,51.50853,-0.12574,146.75.73.112
Montréal,45.50884,-73.58781,encore.kpl.org
San Francisco,37.7621,-122.3971,199.232.137.112
San Francisco,37.7621,-122.3971,151.101.113.112
Chicago,41.85003,-87.65005,199.232.29.112
Kansas City,39.09973,-94.57857,35.244.202.31
San Francisco,37.7621,-122.3971,151.101.141.112
San Francisco,37.7621,-122.3971,199.232.89.112
