metro,provider,name,lat,lon
"Buenos Aires , Argentina",Huawei Cloud,sa-argentina-1,-34.61787,-58.47748
"Canberra , Australia",Microsoft Azure,australiacentral,-35.28346,149.12807
"Canberra , Australia",Microsoft Azure,australiacentral2,-35.28346,149.12807
"Melbourne , Australia",Amazon Web Services,ap-southeast-4,-37.814,144.96332
"Melbourne , Australia",Google Cloud,australia-southeast2,-37.814,144.96332
"Melbourne , Australia",Microsoft Azure,australiasoutheast,-37.814,144.96332
"Melbourne , Australia",Oracle Cloud,ap-melbourne-1,-37.814,144.96332
"Sydney , Australia",Alibaba Cloud,ap-southeast-2,-33.86785,151.20732
"Sydney , Australia",Amazon Web Services,ap-southeast-2,-33.86785,151.20732
"Sydney , Australia",Google Cloud,australia-southeast1,-33.86785,151.20732
"Sydney , Australia",IBM Cloud,au-syd,-33.86785,151.20732
"Sydney , Australia",Microsoft Azure,australiaeast,-33.86785,151.20732
"Sydney , Australia",Oracle Cloud,ap-sydney-1,-33.86785,151.20732
"Vienna , Austria",Google Cloud,,48.20849,16.37208
"Vienna , Austria",Microsoft Azure,austriaeast,48.20849,16.37208
"Manama , Bahrain",Amazon Web Services,me-south-1,26.22787,50.58565
"Brussels , Belgium",Microsoft Azure,belgiumcentral,50.85045,4.34878
"Mons , Belgium",Google Cloud,europe-west1,50.45413,3.95229
"Campinas , Brazil",Oracle Cloud,sa-vinhedo-1,-22.90556,-47.06083
"Rio de Janeiro , Brazil",Microsoft Azure,brazilsoutheast,-22.90642,-43.18223
"São Paulo , Brazil",Amazon Web Services,sa-east-1,-23.5475,-46.63611
"São Paulo , Brazil",Google Cloud,southamerica-east1,-23.5475,-46.63611
"São Paulo , Brazil",Huawei Cloud,sa-brazil-1,-23.5475,-46.63611
"São Paulo , Brazil",IBM Cloud,br-sao,-23.5475,-46.63611
"São Paulo , Brazil",Microsoft Azure,brazilsouth,-23.5475,-46.63611
"São Paulo , Brazil",Oracle Cloud,sa-saopaulo-1,-23.5475,-46.63611
"São Paulo , Brazil",Tencent Cloud,sl-saopaulo,-23.5475,-46.63611
"Calgary , Canada",Amazon Web Services,,51.05011,-114.08529
"Montreal , Canada",Amazon Web Services,ca-central-1,45.50884,-73.58781
"Montreal , Canada",Google Cloud,northamerica-northeast1,45.50884,-73.58781
"Montreal , Canada",Oracle Cloud,ca-montreal-1,45.50884,-73.58781
"Quebec City , Canada",Microsoft Azure,canadaeast,46.81228,-71.21454
"Toronto , Canada",Google Cloud,northamerica-northeast2,43.70011,-79.4163
"Toronto , Canada",IBM Cloud,ca-tor,43.70011,-79.4163
"Toronto , Canada",Microsoft Azure,canadacentral,43.70011,-79.4163
"Toronto , Canada",Oracle Cloud,ca-toronto-1,43.70011,-79.4163
"Toronto , Canada",Tencent Cloud,na-toronto,43.70011,-79.4163
"Santiago , Chile",Google Cloud,southamerica-west1,-33.45694,-70.64827
"Santiago , Chile",Huawei Cloud,la-south-2,-33.45694,-70.64827
"Santiago , Chile",Microsoft Azure,chilecentral,-33.45694,-70.64827
"Santiago , Chile",Oracle Cloud,,-33.45694,-70.64827
"Santiago , Chile",Oracle Cloud,sa-santiago-1,-33.45694,-70.64827
"Beijing , China",Alibaba Cloud,cn-beijing,39.9075,116.39723
"Beijing , China",Amazon Web Services,cn-north-1,39.9075,116.39723
