metro,provider,name,lat,lon
"Buenos Aires , Argentina",Amazon Web Services, us-east-1-bue-1a,-34.61787,-58.47748
"Brisbane , Australia",Amazon Web Services, ap-southeast-2-bne-1a,-27.46794,153.02809
"Melbourne , Australia",Google Cloud, mel-zone1-1988,-37.814,144.96332
"Melbourne , Australia",Google Cloud, mel-zone1-4843,-37.814,144.96332
"Perth , Australia",Amazon Web Services, ap-southeast-2-per-1a,-31.95224,115.8614
"Sydney , Australia",Google Cloud, syd-zone1-1660,-33.86785,151.20732
"Sydney , Australia",Google Cloud, syd-zone1-1605,-33.86785,151.20732
"Vienna , Austria",Amazon Web Services, eu-central-1-vie-1a,48.20849,16.37208
"Brussels , Belgium",Amazon Web Services, eu-west-3-bru-1a,50.85045,4.34878
"Rio de Janeiro , Brazil",Amazon Web Services, us-east-1-rio-1a,-22.90642,-43.18223
"São Paulo , Brazil",Google Cloud, gru-zone1-1057,-23.5475,-46.63611
"São Paulo , Brazil",Google Cloud, gru-zone1-165,-23.5475,-46.63611
"São Paulo , Brazil",Google Cloud, gru-zone1-7580,-23.5475,-46.63611
"London , Canada",Google Cloud, lhr-zone1-47,42.98339,-81.23304
"London , Canada",Google Cloud, lhr-zone1-832,42.98339,-81.23304
"Montreal , Canada",Google Cloud, yul-zone1-1944,45.50884,-73.58781
"Toronto , Canada",Amazon Web Services, ca-central-1-yto-1a,43.70011,-79.4163
"Toronto , Canada",Google Cloud, yyz-zone1-2206,43.70011,-79.4163
"Toronto , Canada",Google Cloud, yyz-zone1-392,43.70011,-79.4163
"Vancouver , Canada",Amazon Web Services, ca-central-1-yvr-1a,49.24966,-123.11934
"Santiago , Chile",Amazon Web Services, us-east-1-scl-1a,-33.45694,-70.64827
"Santiago , Chile",Google Cloud, scl-zone1-1779,-33.45694,-70.64827
"Hong Kong , China",Google Cloud, hkg-zone1-225,22.27832,114.17469
"Hong Kong , China",Google Cloud, hkg-zone1-1118,22.27832,114.17469
"Bogotá , Colombia",Amazon Web Services, us-east-1-bog-1a,4.60971,-74.08175
"Prague , Czech Republic",Amazon Web Services, eu-central-1-prg-1a,50.08804,14.42076
"Copenhagen , Denmark",Amazon Web Services, eu-north-1-cph-1a,55.67594,12.56553
"Helsinki , Finland",Amazon Web Services, eu-north-1-hel-1a,60.16952,24.93545
"Helsinki , Finland",Google Cloud, hem-zone1-7098,60.16952,24.93545
"Helsinki , Finland",Google Cloud, hem-zone1-8128,60.16952,24.93545
"Paris , France",Google Cloud, cdg-zone1-1536,48.85341,2.3488
"Paris , France",Google Cloud, cdg-zone1-181,48.85341,2.3488
"Paris , France",Google Cloud, cdg-zone1-3342,48.85341,2.3488
"Paris , France",Google Cloud, cdg-zone1-53,48.85341,2.3488
"Berlin , Germany",Amazon Web Services, eu-central-1-ber-1a,52.52437,13.41053
"Frankfurt , Germany",Google Cloud, fra-zone1-58,50.11552,8.68417
"Frankfurt , Germany",Google Cloud, fra-zone1-277,50.11552,8.68417
"Frankfurt , Germany",Google Cloud, fra-zone1-683,50.11552,8.68417
"Hamburg , Germany",Amazon Web Services, eu-central-1-ham-1a,53.55073,9.99302
